,code,feature
0,A000000147339,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
1,A000000137180,복합성 웜톤 트러블 모공 블랙헤드 잡티 민감성 
2,A000000141704,복합성 웜톤 트러블 모공 잡티 블랙헤드 민감성 
3,A000000104007,복합성 웜톤 모공 트러블 잡티 민감성 블랙헤드 
4,A000000146589,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
5,A000000016686,복합성 웜톤 모공 잡티 트러블 민감성 블랙헤드 
6,A000000161508,복합성 웜톤 모공 트러블 블랙헤드 잡티 각질 
7,A000000145578,복합성 웜톤 모공 트러블 잡티 민감성 블랙헤드 
8,A000000126862,복합성 쿨톤 트러블 모공 블랙헤드 민감성 잡티 
9,A000000156512,복합성 웜톤 잡티 트러블 모공 블랙헤드 민감성 
10,A000000150946,복합성 웜톤 트러블 모공 잡티 민감성 블랙헤드 
11,A000000148899,복합성 쿨톤 민감성 트러블 모공 잡티 주름 
12,A000000129008,복합성 웜톤 민감성 모공 트러블 블랙헤드 잡티 
13,A000000147524,복합성 웜톤 트러블 모공 블랙헤드 잡티 민감성 
14,A000000154177,복합성 웜톤 트러블 모공 블랙헤드 각질 잡티 
15,A000000157294,복합성 웜톤 모공 잡티 블랙헤드 민감성 주름 
16,A000000143827,복합성 웜톤 모공 트러블 잡티 각질 민감성 
17,A000000117541,복합성 쿨톤 모공 잡티 트러블 민감성 블랙헤드 
18,A000000012809,복합성 웜톤 민감성 잡티 트러블 모공 홍조 
19,A000000147387,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
20,A000000010474,복합성 웜톤 모공 민감성 트러블 블랙헤드 잡티 
21,A000000147313,복합성 웜톤 블랙헤드 모공 잡티 트러블 미백 
22,A000000106421,복합성 웜톤 모공 블랙헤드 잡티 트러블 민감성 
23,A000000153418,복합성 웜톤 민감성 모공 트러블 각질 블랙헤드 
24,A000000132162,복합성 웜톤 모공 트러블 민감성 블랙헤드 잡티 
25,A000000147984,복합성 웜톤 트러블 모공 잡티 탄력 민감성 
26,A000000154375,건성 쿨톤 잡티 주름 블랙헤드 트러블 피지과다 
27,A000000159921,복합성 웜톤 잡티 모공 트러블 민감성 탄력 
28,A000000164211,복합성 쿨톤 트러블 블랙헤드 모공 민감성 잡티 
29,A000000138573,복합성 웜톤 트러블 모공 잡티 민감성 블랙헤드 
30,A000000157691,복합성 웜톤 모공 블랙헤드 트러블 민감성 잡티 
31,A000000152050,복합성 웜톤 트러블 모공 블랙헤드 민감성 잡티 
32,A000000004434,복합성 웜톤 모공 트러블 민감성 잡티 블랙헤드 
33,A000000156148,복합성 웜톤 트러블 모공 블랙헤드 잡티 민감성 
34,A000000151966,복합성 웜톤 트러블 모공 블랙헤드 잡티 민감성 
35,A000000139068,복합성 웜톤 트러블 민감성 블랙헤드 모공 잡티 
36,A000000163655,복합성 쿨톤 모공 민감성 트러블 
37,A000000159265,복합성 웜톤 모공 트러블 민감성 잡티 블랙헤드 
38,A000000137624,지성 웜톤 블랙헤드 모공 트러블 잡티 피지과다 
39,A000000157776,복합성 쿨톤 모공 민감성 트러블 잡티 탄력 
40,A000000011268,복합성 웜톤 트러블 피지과다 모공 잡티 블랙헤드 
41,A000000145840,복합성 웜톤 트러블 잡티 블랙헤드 모공 민감성 
42,A000000155064,복합성 웜톤 트러블 민감성 모공 잡티 블랙헤드 
43,A000000158930,복합성 쿨톤 각질 모공 미백 
44,A000000137078,복합성 웜톤 모공 트러블 잡티 블랙헤드 민감성 
45,A000000152770,복합성 웜톤 모공 블랙헤드 트러블 잡티 민감성 
46,A000000149400,복합성 웜톤 트러블 민감성 모공 블랙헤드 피지과다 
47,A000000159182,복합성 웜톤 트러블 잡티 모공 민감성 블랙헤드 
48,A000000150947,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
49,A000000114676,복합성 웜톤 트러블 모공 블랙헤드 민감성 잡티 
50,A000000159657,복합성 웜톤 모공 트러블 잡티 미백 민감성 
51,A000000158113,건성 봄웜톤 다크서클 미백 민감성 주름 탄력 
52,A000000138982,복합성 웜톤 모공 블랙헤드 잡티 트러블 민감성 
53,A000000153883,건성 웜톤 잡티 탄력 각질 모공 민감성 
54,A000000113292,복합성 웜톤 잡티 민감성 트러블 모공 탄력 
55,A000000103651,복합성 웜톤 블랙헤드 잡티 각질 모공 홍조 
56,A000000130841,복합성 웜톤 트러블 모공 민감성 블랙헤드 잡티 
57,A000000159291,건성 웜톤 민감성 모공 잡티 트러블 미백 
58,A000000156235,복합성 쿨톤 모공 블랙헤드 트러블 탄력 민감성 
59,A000000157846,건성 웜톤 잡티 트러블 민감성 모공 블랙헤드 
60,A000000154625,복합성 웜톤 모공 탄력 민감성 주름 잡티 
61,A000000160562,복합성 웜톤 모공 탄력 잡티 미백 트러블 
62,A000000151951,복합성 웜톤 모공 트러블 민감성 홍조 블랙헤드 
63,A000000005767,복합성 웜톤 모공 트러블 잡티 홍조 미백 
64,A000000135974,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
65,A000000162038,건성 쿨톤 주름 탄력 모공 잡티 각질 
66,A000000113195,복합성 웜톤 트러블 모공 블랙헤드 잡티 민감성 
67,A000000163510,지성 쿨톤 모공 홍조 블랙헤드 아토피 트러블 
68,A000000129443,복합성 웜톤 모공 잡티 민감성 트러블 각질 
69,A000000006564,건성 쿨톤 모공 트러블 블랙헤드 미백 잡티 
70,A000000163417,복합성 웜톤 모공 트러블 홍조 블랙헤드 미백 
71,A000000138003,건성 웜톤 잡티 주름 미백 블랙헤드 민감성 
72,A000000148569,복합성 웜톤 트러블 잡티 모공 민감성 미백 
73,A000000002839,복합성 웜톤 트러블 민감성 모공 잡티 블랙헤드 
74,A000000157854,복합성 웜톤 모공 미백 블랙헤드 탄력 피지과다 
75,A000000112264,복합성 웜톤 블랙헤드 모공 트러블 피지과다 잡티 
76,A000000144042,복합성 웜톤 모공 트러블 잡티 민감성 블랙헤드 
77,A000000161314,복합성 웜톤 모공 트러블 블랙헤드 민감성 잡티 
78,A000000005766,복합성 쿨톤 블랙헤드 모공 민감성 트러블 홍조 
79,A000000154409,트러블성 웜톤 잡티 트러블 피지과다 각질 모공 
80,A000000144052,복합성 웜톤 모공 민감성 블랙헤드 트러블 잡티 
81,A000000144807,복합성 웜톤 트러블 주름 미백 민감성 모공 
82,A000000144803,복합성 쿨톤 모공 트러블 주름 탄력 잡티 
83,A000000015971,복합성 웜톤 트러블 모공 블랙헤드 미백 잡티 
84,A000000113806,복합성 웜톤 트러블 민감성 모공 블랙헤드 잡티 
85,A000000156858,복합성 쿨톤 트러블 각질 잡티 주름 민감성 
86,A000000163494,복합성 웜톤 미백 잡티 주름 탄력 
87,A000000158369,복합성 웜톤 모공 민감성 잡티 블랙헤드 트러블 
88,A000000158616,복합성 웜톤 모공 트러블 각질 블랙헤드 잡티 
89,A000000141719,복합성 쿨톤 각질 블랙헤드 트러블 잡티 모공 
90,A000000157991,복합성 웜톤 트러블 블랙헤드 모공 잡티 미백 
91,A000000116600,지성 웜톤 모공 트러블 탄력 미백 민감성 
92,A000000144680,복합성 웜톤 모공 트러블 잡티 블랙헤드 미백 
93,A000000139057,복합성 웜톤 잡티 모공 트러블 민감성 블랙헤드 
94,A000000114872,복합성 웜톤 트러블 모공 잡티 민감성 블랙헤드 
95,A000000150815,복합성 웜톤 모공 미백 블랙헤드 주름 탄력 
96,A000000147966,건성 웜톤 블랙헤드 모공 잡티 트러블 탄력 
97,A000000128323,복합성 웜톤 잡티 트러블 각질 피지과다 모공 
98,A000000149524,복합성 웜톤 잡티 트러블 주름 탄력 모공 
99,A000000145576,복합성 쿨톤 모공 트러블 블랙헤드 민감성 잡티 
100,A000000124507,복합성 웜톤 트러블 잡티 블랙헤드 모공 민감성 
101,A000000124502,복합성 웜톤 모공 트러블 각질 주름 민감성 
102,A000000011088,복합성 웜톤 미백 잡티 탄력 트러블 모공 
103,A000000154538,건성 웜톤 민감성 잡티 모공 블랙헤드 미백 
104,A000000115384,복합성 웜톤 모공 블랙헤드 트러블 잡티 민감성 
105,A000000159491,복합성 웜톤 모공 잡티 블랙헤드 트러블 미백 
106,A000000147360,복합성 웜톤 모공 민감성 블랙헤드 트러블 피지과다 
107,A000000115419,복합성 쿨톤 트러블 모공 블랙헤드 민감성 탄력 
108,A000000159712,복합성 웜톤 트러블 잡티 블랙헤드 모공 민감성 
109,A000000157555,지성 웜톤 모공 미백 블랙헤드 잡티 탄력 
110,A000000145838,복합성 웜톤 모공 블랙헤드 잡티 민감성 트러블 
111,A000000147964,복합성 웜톤 블랙헤드 트러블 모공 잡티 홍조 
112,A000000158419,복합성 웜톤 잡티 모공 탄력 미백 블랙헤드 
113,A000000158418,복합성 쿨톤 모공 민감성 블랙헤드 트러블 탄력 
114,A000000141330,복합성 웜톤 모공 미백 블랙헤드 트러블 각질 
115,A000000156040,복합성 쿨톤 모공 각질 트러블 민감성 블랙헤드 
116,A000000147015,복합성 가을웜톤 홍조 민감성 트러블 모공 다크서클 
117,A000000150467,복합성 쿨톤 모공 홍조 트러블 민감성 잡티 
118,A000000151953,민감성 봄웜톤 미백 민감성 잡티 트러블 피지과다 
119,A000000143973,복합성 웜톤 모공 잡티 트러블 미백 탄력 
120,A000000146262,복합성 쿨톤 트러블 민감성 블랙헤드 잡티 주름 
121,A000000123301,복합성 웜톤 트러블 모공 잡티 블랙헤드 민감성 
122,A000000152465,복합성 웜톤 모공 민감성 트러블 블랙헤드 잡티 
123,A000000157843,건성 겨울쿨톤 다크서클 트러블 블랙헤드 각질 피지과다 
124,A000000148252,복합성 웜톤 모공 트러블 민감성 블랙헤드 잡티 
125,A000000158322,복합성 웜톤 모공 미백 탄력 트러블 잡티 
126,A000000154540,복합성 웜톤 모공 트러블 민감성 블랙헤드 잡티 
127,A000000137388,복합성 웜톤 미백 블랙헤드 민감성 트러블 탄력 
128,A000000166043,복합성 웜톤 트러블 민감성 모공 잡티 블랙헤드 
129,A000000162662,복합성 웜톤 트러블 모공 잡티 민감성 블랙헤드 
130,A000000158110,복합성 웜톤 각질 잡티 모공 탄력 피지과다 
131,A000000112665,복합성 웜톤 모공 트러블 피지과다 블랙헤드 잡티 
132,A000000107027,복합성 웜톤 트러블 민감성 모공 잡티 블랙헤드 
133,A000000112419,복합성 웜톤 트러블 모공 각질 잡티 미백 
134,A000000112064,복합성 쿨톤 잡티 주름 트러블 모공 블랙헤드 
135,A000000159264,복합성 웜톤 모공 트러블 잡티 민감성 블랙헤드 
136,A000000111410,복합성 쿨톤 각질 모공 미백 블랙헤드 잡티 
137,A000000112354,복합성 웜톤 모공 미백 민감성 블랙헤드 잡티 
138,A000000113011,복합성 웜톤 트러블 잡티 모공 민감성 홍조 
139,A000000157851,건성 웜톤 블랙헤드 트러블 민감성 잡티 모공 
140,A000000115420,복합성 웜톤 모공 트러블 민감성 피지과다 홍조 
141,A000000115386,복합성 웜톤 모공 미백 민감성 잡티 탄력 
142,A000000155968,복합성 웜톤 미백 모공 트러블 민감성 각질 
143,A000000155994,복합성 웜톤 민감성 모공 잡티 트러블 미백 
144,A000000155345,복합성 웜톤 모공 잡티 탄력 블랙헤드 민감성 
145,A000000155000,건성 쿨톤 잡티 민감성 트러블 주름 모공 
146,A000000154923,복합성 쿨톤 트러블 잡티 모공 블랙헤드 민감성 
147,A000000115493,복합성 웜톤 탄력 모공 미백 주름 블랙헤드 
148,A000000154354,복합성 웜톤 모공 잡티 트러블 민감성 미백 
149,A000000116205,복합성 웜톤 트러블 잡티 블랙헤드 각질 모공 
150,A000000154506,복합성 웜톤 모공 민감성 트러블 블랙헤드 잡티 
151,A000000154565,복합성 웜톤 모공 블랙헤드 잡티 민감성 미백 
152,A000000115910,복합성 웜톤 민감성 트러블 모공 블랙헤드 홍조 
153,A000000157852,복합성 웜톤 트러블 모공 블랙헤드 민감성 잡티 
154,A000000115019,복합성 쿨톤 모공 탄력 각질 민감성 트러블 
155,A000000157244,복합성 쿨톤 모공 잡티 주름 탄력 블랙헤드 
156,A000000157258,민감성 웜톤 모공 미백 블랙헤드 잡티 트러블 
157,A000000113010,건성 쿨톤 모공 미백 잡티 탄력 블랙헤드 
158,A000000113009,복합성 웜톤 잡티 각질 모공 미백 트러블 
159,A000000112950,복합성 웜톤 모공 민감성 트러블 탄력 블랙헤드 
160,A000000112805,복합성 웜톤 트러블 모공 민감성 잡티 미백 
161,A000000113008,복합성 웜톤 모공 미백 트러블 민감성 
162,A000000113012,복합성 쿨톤 모공 블랙헤드 트러블 각질 잡티 
163,A000000156862,복합성 쿨톤 모공 트러블 잡티 민감성 탄력 
164,A000000156326,복합성 웜톤 모공 잡티 주름 탄력 트러블 
165,A000000114116,복합성 웜톤 트러블 잡티 모공 민감성 블랙헤드 
166,A000000156680,복합성 웜톤 잡티 트러블 미백 모공 민감성 
167,A000000156683,복합성 웜톤 잡티 트러블 모공 미백 주름 
168,A000000156725,복합성 웜톤 주름 블랙헤드 잡티 트러블 미백 
169,A000000129771,복합성 웜톤 트러블 민감성 모공 잡티 블랙헤드 
170,A000000014089,복합성 웜톤 모공 블랙헤드 미백 각질 민감성 
171,A000000014088,건성 쿨톤 블랙헤드 트러블 잡티 민감성 피지과다 
172,A000000011087,건성 웜톤 모공 주름 탄력 트러블 잡티 
173,A000000014948,복합성 웜톤 각질 트러블 피지과다 민감성 홍조 
174,A000000016152,건성 웜톤 모공 블랙헤드 잡티 트러블 피지과다 
175,A000000011086,복합성 웜톤 잡티 모공 블랙헤드 각질 주름 
176,A000000016751,복합성 웜톤 블랙헤드 모공 트러블 잡티 민감성 
177,A000000163896,건성 웜톤 잡티 탄력 민감성 모공 주름 
178,A000000016749,복합성 웜톤 모공 잡티 트러블 각질 블랙헤드 
179,A000000011085,지성 웜톤 각질 주름 모공 피지과다 블랙헤드 
180,A000000011084,건성 웜톤 트러블 잡티 블랙헤드 미백 민감성 
181,A000000005060,복합성 웜톤 잡티 트러블 주름 모공 민감성 
182,A000000163519,건성 쿨톤 각질 탄력 
183,A000000006565,복합성 웜톤 모공 트러블 민감성 잡티 블랙헤드 
184,A000000007413,건성 쿨톤 아토피 블랙헤드 민감성 잡티 미백 
185,A000000007414,복합성 웜톤 주름 민감성 홍조 모공 잡티 
