,code,feature
186,A000000165599,복합성 웜톤 트러블 모공 민감성 블랙헤드 잡티 
187,A000000163512,건성 웜톤 각질 
188,A000000016873,복합성 웜톤 블랙헤드 트러블 잡티 각질 주름 
189,A000000160650,복합성 쿨톤 모공 트러블 각질 미백 블랙헤드 
190,A000000160817,복합성 웜톤 트러블 모공 민감성 블랙헤드 잡티 
191,A000000104969,복합성 웜톤 각질 모공 미백 잡티 주름 
192,A000000159466,복합성 웜톤 잡티 트러블 모공 블랙헤드 주름 
193,A000000159715,복합성 웜톤 트러블 민감성 잡티 모공 블랙헤드 
194,A000000104971,지성 웜톤 각질 모공 블랙헤드 잡티 주름 
195,A000000104970,복합성 웜톤 각질 모공 미백 블랙헤드 아토피 
196,A000000160305,복합성 웜톤 모공 트러블 피지과다 잡티 
197,A000000160395,복합성 웜톤 모공 민감성 미백 블랙헤드 트러블 
198,A000000160436,복합성 웜톤 모공 잡티 트러블 민감성 탄력 
199,A000000159800,복합성 웜톤 민감성 잡티 트러블 모공 홍조 
200,A000000103900,건성 쿨톤 민감성 잡티 각질 모공 트러블 
201,A000000104167,건성 웜톤 탄력 잡티 미백 모공 민감성 
202,A000000162618,건성 웜톤 모공 미백 민감성 
203,A000000162977,복합성 웜톤 잡티 피지과다 주름 탄력 미백 
204,A000000163097,복합성 웜톤 모공 트러블 블랙헤드 민감성 각질 
205,A000000103320,복합성 웜톤 모공 트러블 각질 피지과다 잡티 
206,A000000161282,복합성 웜톤 각질 트러블 
207,A000000104176,복합성 쿨톤 트러블 민감성 모공 잡티 주름 
208,A000000104169,복합성 쿨톤 모공 탄력 미백 잡티 주름 
209,A000000104173,복합성 웜톤 각질 모공 블랙헤드 탄력 트러블 
210,A000000153724,복합성 쿨톤 잡티 블랙헤드 피지과다 미백 각질 
211,A000000141032,복합성 웜톤 모공 홍조 잡티 트러블 각질 
212,A000000141252,건성 웜톤 탄력 
213,A000000141309,지성 웜톤 트러블 블랙헤드 잡티 모공 각질 
214,A000000141310,건성 웜톤 트러블 모공 블랙헤드 각질 민감성 
215,A000000141311,건성 웜톤 모공 트러블 각질 블랙헤드 잡티 
216,A000000141317,복합성 웜톤 트러블 각질 블랙헤드 모공 피지과다 
217,A000000141319,복합성 웜톤 트러블 잡티 블랙헤드 각질 미백 
218,A000000141327,복합성 쿨톤 잡티 탄력 모공 블랙헤드 미백 
219,A000000140891,복합성 웜톤 모공 트러블 민감성 잡티 탄력 
220,A000000140753,건성 웜톤 민감성 모공 트러블 각질 블랙헤드 
221,A000000140734,복합성 웜톤 모공 잡티 미백 트러블 탄력 
222,A000000138986,복합성 웜톤 모공 탄력 미백 각질 잡티 
223,A000000124503,복합성 쿨톤 모공 블랙헤드 민감성 각질 잡티 
224,A000000141403,건성 웜톤 잡티 모공 트러블 민감성 블랙헤드 
225,A000000139347,복합성 웜톤 민감성 모공 트러블 잡티 탄력 
226,A000000139348,복합성 웜톤 블랙헤드 민감성 모공 미백 잡티 
227,A000000139836,복합성 웜톤 잡티 트러블 민감성 홍조 미백 
228,A000000141417,복합성 웜톤 모공 트러블 잡티 미백 블랙헤드 
229,A000000141595,복합성 웜톤 모공 트러블 잡티 블랙헤드 탄력 
230,A000000141668,복합성 웜톤 모공 각질 블랙헤드 트러블 미백 
231,A000000143193,복합성 웜톤 각질 트러블 민감성 모공 잡티 
232,A000000143195,복합성 쿨톤 모공 트러블 잡티 홍조 민감성 
233,A000000143196,지성 쿨톤 미백 주름 트러블 탄력 각질 
234,A000000124493,복합성 웜톤 각질 잡티 트러블 블랙헤드 모공 
235,A000000143199,지성 웜톤 트러블 모공 미백 잡티 피지과다 
236,A000000124495,복합성 웜톤 잡티 모공 탄력 주름 블랙헤드 
237,A000000143228,복합성 웜톤 트러블 모공 민감성 블랙헤드 잡티 
238,A000000143458,복합성 웜톤 민감성 모공 트러블 잡티 블랙헤드 
239,A000000124326,건성 웜톤 민감성 블랙헤드 잡티 
240,A000000124194,복합성 웜톤 미백 아토피 잡티 주름 탄력 
241,A000000143970,건성 웜톤 잡티 민감성 트러블 각질 모공 
242,A000000143244,지성 웜톤 모공 트러블 
243,A000000138980,복합성 웜톤 트러블 잡티 모공 미백 블랙헤드 
244,A000000124496,건성 쿨톤 미백 잡티 주름 탄력 블랙헤드 
245,A000000124501,건성 웜톤 잡티 주름 민감성 탄력 각질 
246,A000000141718,복합성 웜톤 각질 트러블 모공 블랙헤드 
247,A000000124499,건성 웜톤 모공 민감성 블랙헤드 트러블 
248,A000000142945,복합성 웜톤 트러블 모공 탄력 블랙헤드 각질 
249,A000000142184,복합성 웜톤 모공 트러블 잡티 민감성 블랙헤드 
250,A000000142412,건성 쿨톤 홍조 트러블 민감성 피지과다 각질 
251,A000000142413,복합성 웜톤 모공 블랙헤드 잡티 트러블 민감성 
252,A000000142618,복합성 웜톤 모공 잡티 트러블 민감성 블랙헤드 
253,A000000142744,복합성 웜톤 민감성 잡티 모공 주름 탄력 
254,A000000142746,복합성 쿨톤 모공 트러블 잡티 홍조 민감성 
255,A000000138757,복합성 웜톤 잡티 트러블 모공 미백 민감성 
256,A000000138702,지성 웜톤 각질 모공 미백 블랙헤드 트러블 
257,A000000135773,복합성 웜톤 모공 탄력 주름 블랙헤드 잡티 
258,A000000129303,복합성 웜톤 모공 트러블 홍조 미백 민감성 
259,A000000129035,복합성 웜톤 트러블 모공 잡티 민감성 미백 
260,A000000136077,복합성 웜톤 모공 트러블 잡티 블랙헤드 민감성 
261,A000000135772,복합성 웜톤 블랙헤드 잡티 모공 미백 주름 
262,A000000128966,복합성 웜톤 모공 트러블 민감성 블랙헤드 잡티 
263,A000000137115,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
264,A000000137147,복합성 웜톤 모공 잡티 블랙헤드 트러블 주름 
265,A000000128322,복합성 웜톤 트러블 민감성 모공 탄력 블랙헤드 
266,A000000128107,복합성 웜톤 트러블 피지과다 잡티 홍조 민감성 
267,A000000135591,복합성 웜톤 모공 블랙헤드 잡티 미백 트러블 
268,A000000135374,복합성 쿨톤 모공 트러블 미백 잡티 각질 
269,A000000129772,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
270,A000000130397,건성 쿨톤 모공 미백 민감성 잡티 각질 
271,A000000135375,복합성 웜톤 민감성 트러블 모공 잡티 주름 
272,A000000129474,복합성 웜톤 트러블 민감성 블랙헤드 모공 잡티 
273,A000000129445,복합성 웜톤 민감성 모공 홍조 탄력 트러블 
274,A000000129444,복합성 웜톤 트러블 모공 블랙헤드 각질 민감성 
275,A000000144036,복합성 쿨톤 피지과다 잡티 트러블 모공 홍조 
276,A000000137386,복합성 웜톤 트러블 모공 잡티 민감성 블랙헤드 
277,A000000137417,복합성 쿨톤 모공 미백 잡티 주름 탄력 
278,A000000137834,복합성 웜톤 모공 트러블 잡티 각질 민감성 
279,A000000138002,건성 웜톤 모공 잡티 블랙헤드 민감성 트러블 
280,A000000124509,복합성 웜톤 잡티 트러블 주름 미백 피지과다 
281,A000000138008,복합성 웜톤 모공 트러블 미백 민감성 홍조 
282,A000000138010,복합성 웜톤 모공 블랙헤드 트러블 다크서클 미백 
283,A000000124511,건성 쿨톤 미백 잡티 주름 탄력 
284,A000000124508,건성 쿨톤 잡티 트러블 각질 모공 블랙헤드 
285,A000000138575,복합성 웜톤 모공 잡티 트러블 블랙헤드 민감성 
286,A000000138698,복합성 웜톤 주름 민감성 모공 각질 미백 
287,A000000138393,복합성 웜톤 모공 각질 주름 트러블 피지과다 
288,A000000137415,복합성 쿨톤 미백 블랙헤드 트러블 피지과다 홍조 
289,A000000124512,복합성 쿨톤 잡티 주름 피지과다 각질 모공 
290,A000000137657,건성 웜톤 블랙헤드 모공 트러블 각질 주름 
291,A000000137418,복합성 웜톤 모공 미백 잡티 
292,A000000137445,복합성 웜톤 모공 잡티 탄력 각질 미백 
293,A000000137446,복합성 웜톤 모공 잡티 탄력 각질 미백 
294,A000000137553,복합성 웜톤 모공 트러블 블랙헤드 잡티 민감성 
295,A000000137626,복합성 웜톤 블랙헤드 모공 트러블 잡티 홍조 
296,A000000125841,복합성 웜톤 모공 민감성 블랙헤드 아토피 주름 
297,A000000137652,복합성 웜톤 잡티 트러블 각질 블랙헤드 민감성 
298,A000000137502,복합성 웜톤 모공 트러블 민감성 잡티 블랙헤드 
299,A000000144041,복합성 웜톤 모공 블랙헤드 트러블 홍조 
300,A000000144122,복합성 쿨톤 모공 트러블 각질 블랙헤드 민감성 
301,A000000150816,복합성 쿨톤 모공 블랙헤드 주름 잡티 트러블 
302,A000000150945,복합성 웜톤 트러블 모공 미백 블랙헤드 잡티 
303,A000000119438,복합성 쿨톤 모공 블랙헤드 민감성 트러블 피지과다 
304,A000000118938,복합성 쿨톤 민감성 잡티 트러블 미백 블랙헤드 
305,A000000120123,복합성 웜톤 민감성 모공 피지과다 잡티 트러블 
306,A000000151890,복합성 쿨톤 트러블 모공 잡티 블랙헤드 민감성 
307,A000000118936,복합성 웜톤 트러블 모공 블랙헤드 잡티 각질 
308,A000000118427,건성 웜톤 블랙헤드 홍조 각질 모공 미백 
309,A000000151952,건성 쿨톤 블랙헤드 잡티 트러블 
310,A000000118247,복합성 쿨톤 홍조 주름 블랙헤드 모공 민감성 
311,A000000152047,복합성 웜톤 트러블 민감성 모공 잡티 블랙헤드 
312,A000000149429,건성 웜톤 모공 블랙헤드 잡티 
313,A000000149525,복합성 웜톤 모공 민감성 주름 트러블 잡티 
314,A000000120129,복합성 웜톤 트러블 모공 민감성 잡티 블랙헤드 
315,A000000150047,복합성 웜톤 모공 민감성 트러블 잡티 탄력 
316,A000000149939,복합성 웜톤 미백 탄력 
317,A000000149950,복합성 웜톤 모공 블랙헤드 트러블 미백 잡티 
318,A000000117997,복합성 웜톤 트러블 민감성 모공 블랙헤드 피지과다 
319,A000000152286,복합성 웜톤 모공 잡티 민감성 트러블 블랙헤드 
320,A000000153778,건성 웜톤 민감성 트러블 모공 미백 블랙헤드 
321,A000000153818,복합성 쿨톤 블랙헤드 모공 민감성 트러블 탄력 
322,A000000116603,복합성 웜톤 민감성 트러블 잡티 모공 홍조 
323,A000000153886,복합성 웜톤 잡티 모공 트러블 미백 탄력 
324,A000000116601,복합성 웜톤 탄력 모공 주름 트러블 민감성 
325,A000000153859,복합성 쿨톤 모공 트러블 잡티 민감성 블랙헤드 
326,A000000152051,복합성 웜톤 모공 트러블 블랙헤드 민감성 잡티 
327,A000000129559,복합성 쿨톤 민감성 트러블 모공 피지과다 각질 
328,A000000117865,복합성 웜톤 트러블 잡티 블랙헤드 각질 모공 
329,A000000153187,건성 웜톤 모공 민감성 미백 블랙헤드 아토피 
330,A000000153188,복합성 웜톤 민감성 탄력 모공 블랙헤드 잡티 
331,A000000117854,복합성 웜톤 블랙헤드 각질 잡티 모공 트러블 
332,A000000153727,복합성 웜톤 모공 잡티 트러블 피지과다 블랙헤드 
333,A000000116928,복합성 웜톤 민감성 트러블 블랙헤드 모공 잡티 
334,A000000153507,지성 웜톤 트러블 민감성 블랙헤드 모공 각질 
335,A000000116927,지성 쿨톤 트러블 주름 블랙헤드 미백 탄력 
336,A000000116658,복합성 웜톤 모공 트러블 잡티 민감성 블랙헤드 
337,A000000120482,복합성 웜톤 트러블 모공 블랙헤드 민감성 각질 
338,A000000145835,복합성 쿨톤 잡티 탄력 모공 블랙헤드 민감성 
339,A000000145845,복합성 웜톤 모공 민감성 트러블 홍조 각질 
340,A000000146263,건성 쿨톤 미백 탄력 민감성 트러블 주름 
341,A000000146315,복합성 웜톤 트러블 모공 잡티 블랙헤드 민감성 
342,A000000123149,복합성 웜톤 트러블 민감성 미백 블랙헤드 모공 
343,A000000145833,복합성 웜톤 트러블 모공 잡티 블랙헤드 민감성 
344,A000000146806,건성 웜톤 잡티 블랙헤드 탄력 트러블 주름 
345,A000000123148,복합성 웜톤 트러블 민감성 잡티 모공 홍조 
346,A000000147337,복합성 웜톤 트러블 민감성 모공 잡티 블랙헤드 
347,A000000145503,복합성 웜톤 잡티 민감성 트러블 모공 미백 
348,A000000144124,지성 웜톤 모공 각질 블랙헤드 피지과다 미백 
349,A000000144534,복합성 웜톤 모공 민감성 트러블 각질 주름 
350,A000000144540,복합성 쿨톤 각질 모공 미백 
351,A000000144551,복합성 웜톤 모공 트러블 잡티 블랙헤드 각질 
352,A000000124111,지성 쿨톤 민감성 모공 잡티 트러블 피지과다 
353,A000000145566,복합성 웜톤 모공 트러블 민감성 블랙헤드 잡티 
354,A000000124070,건성 웜톤 모공 잡티 탄력 블랙헤드 민감성 
355,A000000144914,복합성 웜톤 각질 홍조 주름 미백 잡티 
356,A000000144917,복합성 웜톤 모공 트러블 탄력 블랙헤드 잡티 
357,A000000145276,복합성 웜톤 미백 주름 탄력 트러블 민감성 
358,A000000145277,지성 웜톤 트러블 모공 피지과다 잡티 홍조 
359,A000000123588,복합성 웜톤 모공 민감성 트러블 블랙헤드 잡티 
360,A000000149231,건성 웜톤 잡티 주름 
361,A000000122661,복합성 웜톤 탄력 모공 잡티 미백 주름 
362,A000000148391,복합성 쿨톤 트러블 모공 블랙헤드 민감성 잡티 
363,A000000148416,복합성 웜톤 모공 잡티 블랙헤드 트러블 미백 
364,A000000148417,건성 웜톤 트러블 모공 블랙헤드 각질 잡티 
365,A000000121124,복합성 웜톤 트러블 블랙헤드 잡티 모공 각질 
366,A000000148729,복합성 웜톤 민감성 트러블 모공 잡티 탄력 
367,A000000149122,건성 쿨톤 블랙헤드 트러블 탄력 미백 주름 
368,A000000121122,복합성 웜톤 모공 잡티 트러블 블랙헤드 미백 
369,A000000122212,건성 웜톤 잡티 미백 주름 각질 홍조 
370,A000000148253,건성 웜톤 홍조 모공 잡티 민감성 각질 
371,A000000122094,복합성 쿨톤 모공 블랙헤드 주름 잡티 탄력 
372,A000000121274,복합성 웜톤 민감성 트러블 모공 잡티 홍조 
373,A000000148095,복합성 웜톤 모공 트러블 잡티 블랙헤드 주름 
